cand_id,surname,name,mail,phone,branch,job,C++,Java,Matlab,Python,R,Simulink,Adresse,postcode,city,departement_number,departement,region
0,BARBIER,Mathieu,mathieu.barbier@yahoo.com,0688077116,Mecanique,Ingénieur conception mécanique,0,0,1,1,0,1,51 RUE GENERAL CHARLES DE GAULLE,90400,DANJOUTIN,90.0,Territoire-de-Belfort,Bourgogne-Franche-Comté
1,SCHMITT,Isabelle,isabelle.schmitt@yahoo.com,0611520474,Mecanique,Ingénieur conception mécanique,0,0,1,0,0,1,13 RUE DE LA TREMOILLE,75008,PARIS,75.0,Paris,Ile-de-France
2,BRUNET,Michel,michel.brunet@outlook.com,0646066206,Pharma,Ingénieur en informatique,1,1,0,1,0,0,13 RUE PORTE BALAGUER,66200,ELNE,66.0,Pyrénées-Orientales,Languedoc-Roussillon-Midi-Pyrénées
3,GAILLARD,Christine,christine.gaillard@gmail.com,0636137840,Mecanique,Ingénieur conception mécanique,0,0,1,0,0,1,LIEU DIT PENHOAT,29800,ST DIVY,29.0,Finistère,Bretagne
4,FONTAINE,Laetitia,laetitia.fontaine@yahoo.com,0608410782,Aeronautique,Ingénieur d'étude,0,1,0,1,0,0,15 RUE AUBERNON,06600,ANTIBES,6.0,Alpes-Maritimes,Provence-Alpes-Côte d'Azur
5,GERARD,Guillaume,guillaume.gerard@gmail.com,0651860830,Pharma,Ingénieur en informatique,1,1,0,1,0,0,429 ROUTE DE SAINT JULIEN,31220,LAVELANET DE COMMINGES,31.0,Haute-Garonne,Languedoc-Roussillon-Midi-Pyrénées
6,SANCHEZ,Sebastien,sebastien.sanchez@outlook.com,0672277865,Aeronautique,Ingénieur d'étude,0,1,0,1,0,0,LIEU DIT LA PETITE LOUVRAIS,35830,BETTON,35.0,Ille-et-Vilaine,Bretagne
7,MULLER,Didier,didier.muller@gmail.com,0622273060,Aeronautique,Ingénieur d'étude,0,0,0,1,0,0,9 RUE LILY ET NADIA BOULANGER,85000,LA ROCHE SUR YON,85.0,Vendée,Pays-de-la-Loire
8,MASSON,David,david.masson@outlook.com,0650483142,Pharma,Ingénieur en informatique,1,1,0,1,0,0,1 SQUARE JEAN THEBAUD,75015,PARIS,75.0,Paris,Ile-de-France
9,DUVAL,Julien,julien.duval@gmail.com,0644814437,Pharma,Ingénieur en informatique,1,1,0,1,0,0,18 RUE DE L ARRIVEE,75015.0,PARIS,75.0,Paris,Ile-de-France
10,JOLY,Marion,marion.joly@gmail.com,0602833310,Pharma,Ingénieur en informatique,1,1,0,1,0,0,ROUTE DE PARIS,14120,MONDEVILLE,14.0,Calvados,Normandie
11,BERTRAND,Alexandra,alexandra.bertrand@gmail.com,0610452814,Aeronautique,Ingénieur d'étude,0,1,0,1,0,0,10 RUE JEAN BRUNET,92270,BOIS COLOMBES,92.0,Hauts-de-Seine,Ile-de-France
12,BLANCHARD,Florian,florian.blanchard@outlook.com,0641825688,Aeronautique,Ingénieur d'étude,0,0,0,1,0,0,10 ROUTE DES CHERES,74920.0,COMBLOUX,74.0,Haute-Savoie,Auvergne-Rhône-Alpes
13,MOREAU,Fabien,fabien.moreau@yahoo.com,0654230741,Aeronautique,Ingénieur d'étude,0,0,0,1,0,0,290 ROUTE DE BOURBON,71140,ST AUBIN SUR LOIRE,71.0,Saône-et-Loire,Bourgogne-Franche-Comté
14,MULLER,Marie,marie.muller@yahoo.com,0670788050,Mecanique,Ingénieur conception mécanique,0,0,1,0,0,1,47 RUE DU PERE CORENTIN,75014,PARIS,75.0,Paris,Ile-de-France
15,MICHEL,Jonathan,jonathan.michel@yahoo.com,0614022568,Mecanique,Ingénieur d'étude,0,1,1,0,0,0,3 AVENUE HENRI BARBUSSE,94240,L HAY LES ROSES,94.0,Val-de-Marne,Ile-de-France
16,GERARD,Romain,romain.gerard@gmail.com,0630255218,Mecanique,Ingénieur d'étude,0,1,1,0,0,0,18 ROUTE DE BELLEJOIE,16200,JULIENNE,16.0,Charente,Aquitaine-Limousin-Poitou-Charentes
17,MEUNIER,Anthony,anthony.meunier@outlook.com,0632808427,Pharma,Biostatisticien,0,0,0,1,1,0,14 AVENUE DE L OPERA,75001.0,PARIS,75.0,Paris,Ile-de-France
18,RIVIERE,Jonathan,jonathan.riviere@outlook.com,0632632726,Mecanique,Ingénieur d'étude,0,1,1,0,0,0,42 RUE DU GENERAL MARBOT,93250,VILLEMOMBLE,93.0,Seine-St-Denis,Ile-de-France
19,ANDRE,Patricia,patricia.andre@yahoo.com,0680775874,Aeronautique,Ingénieur d'étude,0,1,0,1,0,0,CHEMIN DE BOIS VERT,42110,EPERCIEUX ST PAUL,42.0,Loire,Auvergne-Rhône-Alpes
