cust_id,surname,name,mail,phone,firm_name,branch,job,C++,Java,Matlab,Python,R,Simulink,Adresse,postcode,city,departement_number,departement,region
0,MEYER,Gilles,gilles.meyer@boite_0.com,0644182046,boite_0,Mecanique,Ingénieur conception mécanique,0,0,1,0,0,1,7 RUE DU CHATEAU,94000,CRETEIL,94.0,Val-de-Marne,Ile-de-France
1,ANDRE,Laura,laura.andre@boite_1.com,0610304445,boite_1,Aéronautique,Ingénieur en informatique,1,1,0,1,0,0,6 ALLEE DU MAIL,78340,LES CLAYES SOUS BOIS,78.0,Yvelines,Ile-de-France
2,ARNAUD,David,david.arnaud@boite_2.com,0641561453,boite_2,Mecanique,Ingénieur d'étude,0,1,1,0,0,0,15 PLACE PAUL BERT,64100,BAYONNE,64.0,Pyrénées-Atlantiques,Aquitaine-Limousin-Poitou-Charentes
3,LEGRAND,Franck,franck.legrand@boite_3.com,0607771516,boite_3,Mecanique,Ingénieur d'étude,0,1,1,0,0,0,zone industrielle la Blauderie La Flocelliere,85700,SEVREMONT,85.0,Vendée,Pays-de-la-Loire
4,MEUNIER,Emmanuel,emmanuel.meunier@boite_4.com,0656620672,boite_4,Mecanique,Ingénieur d'étude,0,1,1,0,0,0,AVENUE DE LA PAIX,41700,CONTRES,41.0,Loir-et-Cher,Centre-Val de Loire
5,OLIVIER,Laurent,laurent.olivier@boite_5.com,0651631887,boite_5,Mecanique,Ingénieur conception mécanique,0,0,1,0,0,1,345 ROUTE DE GRENOBLE,38830,CRETS EN BELLEDONNE,38.0,Isère,Auvergne-Rhône-Alpes
6,GAILLARD,Celine,celine.gaillard@boite_6.com,0601480150,boite_6,Aeronautique,Ingénieur d'étude,0,1,0,1,0,0,LA LIGERIE,16320,GARDES LE PONTAROUX,16.0,Charente,Aquitaine-Limousin-Poitou-Charentes
7,ROBIN,Patricia,patricia.robin@boite_7.com,0652777682,boite_7,Pharma,Biostatisticien,0,0,0,1,1,0,762 RUE NATIONALE,69400,VILLEFRANCHE SUR SAONE,69.0,Rhône,Auvergne-Rhône-Alpes
8,RENARD,Sandrine,sandrine.renard@boite_8.com,0676448306,boite_8,Mecanique,Ingénieur conception mécanique,0,0,1,0,0,1,47 RUE JULES BARAT,33470,GUJAN MESTRAS,33.0,Gironde,Aquitaine-Limousin-Poitou-Charentes
9,FERNANDES,Benoit,benoit.fernandes@boite_9.com,0676102635,boite_9,Aeronautique,Ingénieur d'étude,0,1,0,1,0,0,10 ROND POINT DE LA CORBINERIE,44400,REZE,44.0,Loire-Atlantique,Pays-de-la-Loire
10,PEREIRA,Christophe,christophe.pereira@boite_10.com,0677440813,boite_10,Pharma,Ingénieur en informatique,1,1,0,1,0,0,223 ROUTE DE VIENNE,69008,LYON,69.0,Rhône,Auvergne-Rhône-Alpes
11,DUPONT,Guillaume,guillaume.dupont@boite_11.com,0676300728,boite_11,Mecanique,Ingénieur conception mécanique,0,0,1,0,0,1,38 RUE MAURICE BERNARD,93700,DRANCY,93.0,Seine-St-Denis,Ile-de-France
12,BERNARD,Dominique,dominique.bernard@boite_12.com,0673060365,boite_12,Aéronautique,Ingénieur en informatique,1,1,0,1,0,0,58 T AVENUE JOLIOT CURIE,44500,LA BAULE,44.0,Loire-Atlantique,Pays-de-la-Loire
13,PEREZ,Christelle,christelle.perez@boite_13.com,0667142362,boite_13,Mecanique,Ingénieur d'étude,0,1,1,0,0,0,3 RUE DES FAUX ROIS,94380.0,BONNEUIL SUR MARNE,94.0,Val-de-Marne,Ile-de-France
14,ARNAUD,Marion,marion.arnaud@boite_14.com,0603115645,boite_14,Mecanique,Ingénieur conception mécanique,0,0,1,1,0,1,237 CHEMIN DES SABLES,01600,REYRIEUX,1.0,Ain,Auvergne-Rhône-Alpes
